30015494	2714163118	Tacoma, WA
29444850	1576416387	Atlanta, GA
18959463	3900001084	Atlanta, GA
45175889	4102859034	Atlanta, Georgia
71390628	4038616893	Atlanta, GA
16865944	4355100846	Atlanta, GA
52519677	3696298544	Atlanta, GA
55668841	4009608521	Atlanta, GA
59863276	4062622656	Atlanta, GA
33649089	4078031731	Atlanta, GA
66158579	4039448285	Atlanta, GA
15827293	3956158240	Atlanta, GA
71669423	3904554747	Atlanta, GA
58823437	3769014914	Atlanta, GA
74557732	4129251188	Atlanta, Georgia
27374016	4309610239	Atlanta, GA
75609467	4295557529	Atlanta, GA
75609833	4130840823	Atlanta, GA
15844400	3990985853	Atlanta, GA
18990309	3693816860	Atlanta, Georgia
118013	4082571240	Atlanta, GA
16896848	3862998741	Atlanta, GA
54646328	4060227162	Atlanta, GA
16447937	4040692566	Atlanta, GA
56746580	4383126414	Atlanta, GA
22145785	4047659092	Atlanta, GA
22146515	4107017671	Atlanta, GA
23197172	4348252254	Atlanta, GA
64091918	4103793699	Atlanta, GA
15858853	4298319579	Atlanta, GA
26345622	4006729734	Atlanta, GA
16908854	3916110133	Atlanta, GA
21105760	3986407661	Atlanta, GA
67244154	3437417683	Atlanta, GA
38934369	4061656157	Atlanta, GA
22159678	4068747135	Atlanta, GA
14528973	3715781187	Atlanta, GA
35798357	2222359215	Atlanta, GA
60964969	4039107302	Atlanta, GA
68306244	3561944057	Atlanta, GA
73949679	4023531537	Atlanta, Georgia
12733362	4025064240	Atlanta, Georgia
26365432	4304770024	Atlanta, GA
15754157	3969340390	Atlanta, GA
6445192	4068615526	Atlanta, GA
17980076	3702656330	Atlanta, GA
32664744	4305764300	Atlanta, GA
20124224	3856381540	Atlanta, GA
23444818	3887696270	Atlanta, GA
19035197	4038850899	Atlanta, GA
20998647	4150887401	Atlanta, GA
45252315	3617542960	Atlanta, GA
53182785	3811513607	Atlanta, GA
26941047	4357876408	Atlanta, Georgia
1214481	4084377197	Atlanta, Georgia
21139465	4064029654	Atlanta, GA
36869018	4365591315	Atlanta, GA
36869743	3566666961	Atlanta, GA
31627048	4173506200	Atlanta, GA
15898645	3987518515	Atlanta, GA
8558632	3964144025	Atlanta, GA
30579379	4111966685	Atlanta, GA
51551680	3692651216	Atlanta, GA
14852604	4028405223	Atlanta, GA
27435839	4091817671	Atlanta, GA
19252813	3373234709	Atlanta, GA
21145820	4348742254	Atlanta, GA
31633059	3832352254	Atlanta, GA
29540179	4008401959	Atlanta, GA
29542215	4100549519	Atlanta, Georgia
27445405	4420176211	Atlanta, Georgia
42126027	3240569723	Atlanta, GA
49468804	4062657336	Atlanta, GA
21177511	4167638438	Atlanta, GA
22575803	4335767697	Atlanta, GA
14869913	4085142939	Atlanta, GA
18019779	4367732777	Atlanta, GA
17334106	4376458699	Atlanta, GA
6487462	4130408966	Atlanta, GA
18208825	3944780550	Atlanta, GA
21173083	4065188696	Atlanta, GA
16983535	4104523744	Atlanta, GA
75705995	4118049067	Atlanta, Georgia
25375650	3756009068	Atlanta, GA
52463842	4082870453	Atlanta, GA
22231654	4091754194	Atlanta, GA
18038375	4074199767	Atlanta, GA
26427886	3836016022	Atlanta, GA
40065317	4175195128	Atlanta, GA
42164178	3911644429	Atlanta, GA
25387120	3967539860	Atlanta, GA
52650281	4305805981	Atlanta, GA
27346941	4060256177	Atlanta, GA
29049002	4106181101	Atlanta, GA
17008091	4031366886	Atlanta, GA
42176311	4019536722	Atlanta, Georgia
1284921	4342184627	Atlanta, GA
33791320	4085981390	Atlanta, GA
46375114	3980681133	Atlanta, GA
15966784	4318843252	Atlanta, GA
14920133	3945640362	Atlanta, Georgia
20312612	4087622797	Atlanta, GA
35896194	4406190603	Atlanta, GA
48481155	3968746833	Atlanta, GA
37995788	3840035580	Atlanta, GA
32547175	3962237766	Atlanta, Georgia
76794964	4329548025	Atlanta, GA
71868945	3886976895	Atlanta, GA
26465563	4130187167	Atlanta, GA
76797969	4403818711	Atlanta, GA
21224257	4082060887	Atlanta, GA
71557493	4125625397	Atlanta, GA
18080161	3844101589	Atlanta, GA
25423316	3915237206	Atlanta, GA
15988366	4110358029	Atlanta, GA
23329214	4084016793	Atlanta, GA
65078067	3286787830	Atlanta, GA
17042228	3993407848	Atlanta, GA
15996195	3800005431	Atlanta, GA
73667948	3980468632	Atlanta, Georgia
21366076	3717619971	Atlanta, GA
16000952	4044318508	Atlanta, GA
11808802	4151043536	Atlanta, GA
5517442	4298128634	Atlanta, GA
14955490	4087081721	Atlanta, GA
27540642	4093320452	Atlanta, GA
13910592	4007605727	Atlanta, GA
45372678	4171365907	Atlanta, GA
23354282	4092597134	Atlanta, GA
51666013	3926902960	Atlanta, GA
68445400	3520810226	Atlanta, GA
35940122	4014593844	Atlanta, GA
45378078	4074699824	Atlanta, GA
17066992	4010285167	Atlanta, GA
13922052	4033768431	Atlanta, GA
17350465	3447888750	Atlanta, Georgia
16024244	4086532726	Atlanta, GA
28710442	4301830234	Atlanta, GA
17875253	3838285789	Atlanta, GA
30706064	4175197191	Atlanta, GA
59019099	4142839592	Atlanta, GA
14980675	3591437008	Atlanta, GA
42244936	4135508955	Atlanta, GA
23372446	3647582810	Atlanta, GA
29664001	4141747761	Atlanta, GA
54832352	4109312433	Atlanta, Georgia
19181924	4155087225	Atlanta, GA
16036636	4297766709	Atlanta, GA
26022831	4155143368	Atlanta, GA
31766495	4066888971	Atlanta, Georgia
13949382	4007153182	Atlanta, Georgia
22342015	3987884362	Atlanta, Georgia
14384941	3617396614	Atlanta, GA
45416174	3941385388	Atlanta, GA
4524031	4151574261	Atlanta, Georgia
24450141	4096751696	Atlanta, Georgia
14735617	3811946388	Atlanta, Georgia
29697345	4161877236	Atlanta, GA
25505158	3958476109	Atlanta, GA
24457074	4407619566	Atlanta, GA
18165968	4078984229	Atlanta, Georgia
30750880	3871593378	Atlanta, Georgia
64311524	4004725709	Atlanta, Georgia
21321986	4002292548	Atlanta, GA
33907114	4389034566	Atlanta, GA
18178655	4370982664	Atlanta, GA
16332750	4067743363	Atlanta, GA
22375938	3889195554	Atlanta, GA
18183630	4159295689	Atlanta, GA
17141040	3861186185	Atlanta, Georgia
12294372	4057356670	Atlanta, Georgia
65386807	4134900149	Atlanta, GA
60146816	3920156628	Atlanta, GA
27642049	4040237511	Atlanta, GA
27643102	3797375452	Atlanta, Georgia
28693567	4158313578	Atlanta, GA
42326186	4394344290	Atlanta, GA
72736978	4356682936	Atlanta, GA
37862028	4403367067	Atlanta, GA
48624251	3197024852	Atlanta, GA
74443375	4078381109	Atlanta, GA
20313694	3331626276	Atlanta, GA
27654130	4357001310	Atlanta, GA
25560238	4306194222	Atlanta, GA
63310558	4385944011	Atlanta, Georgia
5649582	4145110132	Atlanta, GA
55982119	4158643756	Atlanta, GA
51273893	4059784131	Atlanta, GA
54936574	4057122553	Atlanta, GA
19285839	4100844496	Atlanta, GA
15096044	4316218120	Atlanta, GA
66477660	4046841235	Atlanta, GA
60187879	4104747108	Atlanta, GA
26634975	4301986710	Atlanta, GA
17111612	3859525821	Atlanta, GA
17198288	4398149184	Atlanta, GA
20344098	3939734192	Atlanta, GA
43935784	4002476452	Atlanta, GA
36074411	3581003382	Atlanta, GA
69629612	4038174340	Atlanta, GA
59146506	2825562418	Atlanta, GA
19301005	3997612787	Atlanta, GA
25411819	1579337928	Atlanta, Georgia
23496871	1742197748	Atlanta, GA
20353953	4085332570	Atlanta, GA
27694487	4161102416	Atlanta, GA
75930114	4177133401	Atlanta, Georgia
17210899	3364159183	Atlanta, GA
32939948	3883134773	Atlanta, GA
19309927	4152055226	Atlanta, GA
17213689	2613687583	Atlanta, Georgia
39394394	4116796347	Atlanta, GA
27702102	4096440193	Atlanta, Georgia
41493006	3934205749	Atlanta, Georgia
52876400	4068257428	Atlanta, GA
68606728	3899188015	Atlanta, GA
20347739	4162239947	Atlanta, Georgia
51833470	4380454389	Atlanta, GA
28765401	4154193590	Atlanta, GA
64417056	4105255388	Atlanta, GA
39256677	4080122709	Atlanta, GA
15139701	3894816966	Atlanta, GA
17237039	3933723919	Atlanta, GA
44500468	3498988631	Atlanta, GA
32408299	4036761277	Atlanta, GA
23533938	3993224608	Atlanta, Georgia
15145995	4298018070	Atlanta, GA
25635333	4097150264	Atlanta, Georgia
30883351	4178044257	Atlanta, GA
57098350	4076949150	Atlanta, GA
15156586	4299300974	Atlanta, Georgia
61293940	4114448088	Atlanta, Georgia
30886225	4172945332	Atlanta, GA
64567261	4306127270	Atlanta, Georgia
19354266	4118006385	Atlanta, GA
75978523	4143059454	Atlanta, GA
26695624	4133783962	Atlanta, GA
30813038	3563052182	Atlanta, GA
62349357	4089035257	Atlanta, GA
21454912	4322839842	Atlanta, GA
7825742	4351351224	Atlanta, GA
32993201	4052086331	Atlanta, GA
20412400	4020149189	Atlanta, GA
47678149	4015827578	Atlanta, GA
24609780	3981304173	Atlanta, GA
54032044	3830714159	Atlanta, GA
36154568	3878439464	Atlanta, GA
18123437	3957581911	Atlanta, GA
3650511	3889105919	Atlanta, GA
15484705	3997137309	Atlanta, GA
66566626	4373415843	Atlanta, GA
48741440	4065066345	Atlanta, GA
21056514	4354929389	Atlanta, GA
56232102	3170497237	Atlanta, GA
64476980	3701591002	Atlanta, GA
19388410	3560980269	Atlanta, GA
15194265	3786590383	Atlanta, GA
16244407	3266924709	Atlanta, GA
25776493	4163068161	Atlanta, GA
21490414	3670459830	Atlanta, GA
16247990	4039709725	Atlanta, GA
39317632	2390105632	Atlanta, GA
24642789	4033839914	Atlanta, GA
16255786	4111811915	Atlanta, GA
36400197	3737846834	Atlanta, GA
20450510	4012663940	Atlanta, GA
71830829	3783026586	Atlanta, Georgia
18358814	4054251463	Atlanta, Georgia
49819048	4396731005	Atlanta, GA
28847567	4377697811	Atlanta, GA
16265946	4305297162	Atlanta, GA
40384425	4008529222	Atlanta, GA
14170330	3823137100	Atlanta, Georgia
25705895	4405248804	Atlanta, GA
52968965	4106117608	Atlanta, GA
45629152	4076702404	Atlanta, GA
25717297	4074195492	Atlanta, GA
35155169	3955311546	Atlanta, GA
14184898	3839487443	Atlanta, Georgia
18379701	3945076466	Atlanta, GA
14185798	3861839747	Atlanta, GA
57177936	4111464516	Atlanta, GA
55081354	4297246986	Atlanta, GA
21527633	4108827172	Atlanta, Georgia
28170922	4135761638	Atlanta, GA
15731054	4299266732	Atlanta, GA
63480713	4104319632	Atlanta, GA
17343928	4088976236	Atlanta, GA
24685065	3971937165	Atlanta, GA
20491285	4139936598	Atlanta, GA
47754387	3412008006	Atlanta, Georgia
21540645	3172896161	Atlanta, Georgia
28882464	4056006820	Atlanta, GA
25739028	2442108043	Atlanta, GA
45662953	4077629052	Atlanta, GA
54053000	4397997322	Atlanta, GA
25741707	4153748282	Atlanta, GA
64539710	4125981404	Atlanta, GA
33329322	4000559654	Atlanta, GA
47765796	3819747966	Atlanta, GA
18406555	3947381037	Atlanta, GA
17358252	4304882692	Atlanta, GA
14212927	3921955777	Atlanta, GA
17359878	4107181041	Atlanta, GA
19458285	4314562744	Atlanta, GA
16313133	4367875793	Atlanta, Georgia
36236811	4122937864	Atlanta, GA
39383782	4131380495	Atlanta, GA
25613217	3870701175	Atlanta, GA
34141970	2229687742	Atlanta, GA
62138672	4120714797	Atlanta, GA
13172132	3928556636	Atlanta, GA
16318481	3417365751	Atlanta, GA
28901886	4177939342	Atlanta, GA
14222162	3760079144	Atlanta, GA
56167553	4106308275	Atlanta, GA
67703221	3991280376	Atlanta, GA
36246003	4037945202	Atlanta, GA
65984676	3901779037	Atlanta, GA
22624283	4381096808	Atlanta, GA
24723452	2663019431	Atlanta, GA
1658151	3330241809	Atlanta, GA
25775886	4400695555	Atlanta, Georgia
17388817	4019768430	Atlanta, GA
38360818	4138608406	Atlanta, Georgia
15292993	3891921710	Atlanta, GA
44654560	4162147988	Atlanta, Georgia
67548395	4298330876	Atlanta, GA
61435310	4087162016	Atlanta, GA
15298634	4157425215	Atlanta, GA
37319536	3991182086	Atlanta, GA
23688404	3668380419	Atlanta, Georgia
46757098	2266876850	Atlanta, GA
14252101	4155108742	Atlanta, GA
31030817	3915545593	Atlanta, GA
16352248	3168472762	Atlanta, GA
33130575	4120138717	Atlanta, GA
21425912	4047267792	Atlanta, GA
19506223	3935160631	Atlanta, GA
789300	4058796193	Atlanta, GA
17582540	4084387288	Atlanta, GA
14437015	3986597946	Atlanta, GA
16369099	4134126781	Atlanta, Georgia
642123	4016704329	Atlanta, GA
14275085	4084750803	Atlanta, GA
21615412	4090602137	Atlanta, GA
46781335	4370249006	Atlanta, GA
74044487	4085810412	Atlanta, GA
20568046	4139166197	Atlanta, GA
16374983	4085474726	Atlanta, GA
16186416	4146462875	Atlanta, Georgia
63565662	3989707779	Atlanta, GA
20574159	4092176683	Atlanta, Georgia
21624672	4296146995	Atlanta, Georgia
26870511	4394663475	Atlanta, GA
25822631	4162715939	Atlanta, Georgia
26871679	4344593732	Atlanta, GA
17435757	4147958034	Atlanta, GA
39455999	3889105290	Atlanta, GA
47844649	4115478438	Atlanta, GA
23728678	4054177615	Atlanta, Georgia
45750463	3863277790	Atlanta, GA
54636296	4410317118	Atlanta, GA
76161550	4317423247	Atlanta, GA
44704758	3965646278	Atlanta, GA
15345806	4136062389	Atlanta, GA
61483609	4111610838	Atlanta, Georgia
23735390	4095702875	Atlanta, GA
19541352	4087299830	Atlanta, Georgia
14299617	4101311150	Atlanta, GA
24753725	4041190690	Atlanta, GA
24791974	3999572905	Atlanta, GA
16404805	4028343721	Atlanta, Georgia
16407164	4058730658	Atlanta, GA
27944407	1949198707	Atlanta, GA
21653241	3991489649	Atlanta, GA
24394202	2490303809	Atlanta, Georgia
63598203	4394661000	Atlanta, GA
62549695	3126572693	Atlanta, GA
60453297	3900393310	Atlanta, GA
53113454	4153779952	Atlanta, Georgia
52065881	3942142321	Atlanta, GA
18511525	3458785196	Atlanta, GA
17464373	4062323790	Atlanta, GA
15493788	1489135872	Atlanta, GA
5933482	4054255964	Atlanta, GA
18517657	4067003129	Atlanta, GA
20616216	4019647595	Atlanta, GA
18521950	4173760179	Atlanta, GA
29012376	4094871449	Atlanta, GA
25867588	4040011786	Atlanta, Georgia
23770647	4103776579	Atlanta, GA
43697962	4080562911	Atlanta, Georgia
70961675	4006355436	Atlanta, GA
21264560	4376891836	Atlanta, GA
17486899	4159779175	Atlanta, GA
13293822	3984777845	Atlanta, GA
30352680	4303274435	Atlanta, GA
14344793	4036977166	Atlanta, GA
27976302	4320049219	Atlanta, GA
23711858	4068866094	Atlanta, Georgia
16442331	4320519746	Atlanta, GA
15394266	4164941606	Atlanta, GA
23362555	4117168632	Atlanta, GA
25881378	3986624556	Atlanta, GA
30076053	4014612571	Atlanta, GA
75169010	4111396416	Atlanta, GA
19594853	4008574197	Atlanta, GA
66781110	4025998135	Atlanta, GA
54198238	3903402293	Atlanta, GA
31131887	4301601308	Atlanta, Georgia
13308842	4314489743	Atlanta, GA
20652414	3982431536	Atlanta, GA
15410679	4044889401	Atlanta, GA
14277578	3959874724	Atlanta, GA
15412640	4354291384	Atlanta, GA
26665465	4301340341	Atlanta, GA
41017023	3792058187	Atlanta, GA
75184264	4078748152	Atlanta, GA
39535169	3696009895	Atlanta, GA
13412652	4125954852	Atlanta, GA
33246657	4422468637	Atlanta, GA
28007725	4096675257	Atlanta, GA
32805286	3998001645	Atlanta, GA
34303480	4071919466	Atlanta, Georgia
38498579	4330450456	Atlanta, GA
41645304	3863363089	Atlanta, GA
17077173	4070926095	Atlanta, GA
31160603	4299529210	Atlanta, GA
71254729	4156770122	Atlanta, GA
19632704	4122803020	Atlanta, Georgia
25924187	4296097467	Atlanta, GA
16488512	3892002055	Atlanta, Georgia
25929026	3988485720	Atlanta, Georgia
15443512	4023277386	Atlanta, GA
10202342	4086729857	Atlanta, GA
19640525	4142801170	Atlanta, GA
10203812	4033638872	Atlanta, GA
37467486	4351358993	Atlanta, GA
13351302	4324380639	Atlanta, GA
23837998	4072240503	Atlanta, GA
17546858	4328606225	Atlanta, GA
46908399	4093003195	Atlanta, GA
72074835	4130538888	Atlanta, GA
52159363	3185456955	Atlanta, GA
30140495	4090453701	Atlanta, GA
28044938	4309878018	Atlanta, GA
16511874	3515955158	Atlanta, GA
17564163	2722180270	Atlanta, GA
23856925	4113544059	Atlanta, GA
60557393	3944774062	Atlanta, GA
77335439	4382832667	Atlanta, Georgia
11276292	4155708127	Atlanta, GA
75240280	4168194010	Atlanta, Georgia
74191754	4116275574	Atlanta, GA
36444310	2551534405	Atlanta, GA
21764306	4160334428	Atlanta, Georgia
14424328	3374929629	Atlanta, GA
34348079	3614368784	Atlanta, GA
25961158	4296854788	Atlanta, GA
17100509	2605562607	Atlanta, GA
30158235	4060163879	Atlanta, GA
22820591	4034566306	Atlanta, GA
16532252	3696412967	Atlanta, GA
25969722	4069075618	Atlanta, GA
74204309	4122690871	Atlanta, GA
16533032	3887116412	Atlanta, GA
14438704	4102581435	Atlanta, GA
30167411	4121240359	Atlanta, Georgia
18635262	3821916357	Atlanta, GA
46948796	3813134108	Atlanta, Georgia
20735073	4159125626	Atlanta, GA
15495490	4032939699	Atlanta, Georgia
20408453	4096431263	Atlanta, GA
30176291	4021119639	Atlanta, GA
30176693	4046694745	Atlanta, Georgia
49052103	4075324104	Atlanta, GA
66883120	3903296329	Atlanta, GA
64786250	4080360990	Atlanta, GA
33330400	3874167061	Atlanta, GA
43828101	3527517997	Atlanta, GA
46954653	4006143713	Atlanta, GA
9216602	2568695122	Atlanta, GA
18656318	1387489555	Atlanta, GA
37531147	4156584366	Atlanta, GA
71092347	3861542413	Atlanta, GA
56410040	3538004575	Atlanta, GA
28098958	4305311046	Atlanta, GA
28099326	4021767485	Atlanta, GA
26002191	4174600757	Atlanta, GA
24953850	3953789030	Atlanta, GA
23905546	4131393327	Atlanta, Georgia
55364750	4305031283	Atlanta, GA
10278852	4316682133	Atlanta, GA
14473425	4115653280	Atlanta, GA
21813979	4117022216	Atlanta, GA
6085962	3897422699	Atlanta, GA
49249213	4344007219	Atlanta, GA
45936159	3681577709	Atlanta, GA
18141958	3570742892	Atlanta, GA
17629441	4136398128	Atlanta, GA
19727294	3915623948	Atlanta, GA
70571899	4130031874	Atlanta, GA
29167624	4068306610	Atlanta, GA
13774542	3583098977	Atlanta, GA
65870367	3334220339	Atlanta, GA
46805413	3824497094	Atlanta, Georgia
30223230	4094801146	Atlanta, Georgia
13785802	4169424903	Atlanta, GA
21116024	4171418049	Atlanta, GA
14498776	4132055227	Atlanta, GA
56443823	4085166852	Atlanta, GA
76370521	4344891402	Atlanta, GA
59586390	4331915101	Atlanta, GA
17655003	4033609411	Atlanta, GA
42823056	3801648503	Atlanta, Georgia
15561526	4137507627	Atlanta, Georgia
75330471	4083705864	Atlanta, Georgia
37582087	4016987108	Atlanta, GA
45972903	2935545666	Atlanta, GA
64848303	4100799627	Atlanta, GA
71140048	3899975594	Atlanta, GA
55411480	4034074378	Atlanta, GA
17663740	4010798691	Atlanta, GA
16619891	4314678071	Atlanta, GA
23961839	4105005092	Atlanta, Georgia
18720623	3796508949	Atlanta, Georgia
30256141	4142711495	Atlanta, GA
17800420	4079569616	Atlanta, Georgia
20281353	4134406158	Atlanta, GA
52054589	4417371454	Atlanta, GA
11386712	3823286196	Atlanta, GA
72204742	3812670343	Atlanta, Georgia
15581696	4087825115	Atlanta, GA
53333788	3264075659	Atlanta, GA
39702417	4364632174	Atlanta, GA
74715877	4028214005	Atlanta, GA
22928289	4062887067	Atlanta, GA
19783849	4113629760	Atlanta, GA
15590364	4033899839	Atlanta, Georgia
60680611	4014101836	Atlanta, GA
31259770	4165521686	Atlanta, GA
19787182	3720091824	Atlanta, GA
58585452	3984170282	Atlanta, GA
65925585	4136976446	Atlanta, Georgia
35804232	1777718827	Atlanta, Georgia
45940831	4171729283	Atlanta, Georgia
25035439	3864968228	Atlanta, Georgia
65932076	4147577753	Atlanta, GA
24969851	4085485908	Atlanta, GA
74322056	3996303855	Atlanta, Georgia
1970351	4417093213	Atlanta, GA
14834184	4317221971	Atlanta, GA
18751243	1630654542	Atlanta, GA
38676663	3969273677	Atlanta, GA
32386815	4049633386	Atlanta, GA
16659967	4034928260	Atlanta, GA
38680131	4139864250	Atlanta, GA
32390762	4094238029	Atlanta, GA
75303599	4130579950	Atlanta, GA
15614639	4039663942	Atlanta, GA
15614664	3689131410	Atlanta, GA
55461207	4142044604	Atlanta, GA
69093292	4348115860	Atlanta, GA
27154855	4166161524	Atlanta, Georgia
46469022	4304111760	Atlanta, GA
14574198	4038723703	Atlanta, Georgia
68315224	3523820429	Atlanta, GA
15627118	3986771515	Atlanta, GA
73208684	4049798715	Atlanta, GA
29261806	3809719546	Atlanta, GA
20876225	4123021742	Atlanta, GA
15635647	4098081177	Atlanta, GA
16686336	4105893140	Atlanta, GA
40807962	4038053581	Atlanta, GA
37665540	3605032671	Atlanta, GA
64928803	4040374366	Atlanta, GA
43958400	4338965840	Atlanta, GA
17745133	4327686304	Atlanta, GA
23929644	4175860173	Atlanta, GA
28235986	4160419904	Atlanta, GA
14607989	4343437989	Atlanta, GA
27191042	4042001153	Atlanta, GA
73329492	4046437938	Atlanta, Georgia
28241299	4327815942	Atlanta, GA
17115350	4114769232	Atlanta, GA
68845559	4139203541	Atlanta, GA
48172134	2336798699	Atlanta, GA
18689215	3985189782	Atlanta, GA
42981364	4127501757	Atlanta, GA
24981115	4070401640	Atlanta, GA
6233692	4007356824	Atlanta, GA
25110881	4102202053	Atlanta, GA
62567948	3672333519	Atlanta, GA
23018463	3885991111	Atlanta, GA
16729469	4175680273	Atlanta, GA
49799631	3995709814	Atlanta, GA
69160219	4386452591	Atlanta, GA
20265323	3996450309	Atlanta, GA
38755377	3941426909	Atlanta, GA
29677359	4014423820	Atlanta, Georgia
25125168	3968400877	Atlanta, GA
19882539	3718972865	Atlanta, GA
14640281	4017882411	Atlanta, GA
56583330	3636965760	Atlanta, GA
15691779	3862267545	Atlanta, GA
14644483	4128975941	Atlanta, GA
26179346	4027631993	Atlanta, Georgia
61830973	4353866647	Atlanta, GA
25133075	3886125309	Atlanta, GA
66029312	4057531012	Atlanta, GA
21840180	4037895734	Atlanta, GA
49253218	4071801470	Atlanta, Georgia
27234003	4086284511	Atlanta, GA
9409172	4096314105	Atlanta, GA
28285348	4361387948	Atlanta, GA
58697844	4057483877	Atlanta, GA
14662125	4011670550	Atlanta, GA
38781070	3823540140	Atlanta, GA
14852190	4326000634	Atlanta, GA
20956862	3910532193	Atlanta, Georgia
59754528	4116734775	Atlanta, GA
38783419	3901112644	Atlanta, GA
55561365	4035128433	Atlanta, GA
18862163	4175620192	Atlanta, GA
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
