30015494	2714163118	Tacoma, WA	
22540691	3717961871	Seattle, WA	
31223044	6090715995	Seattle, WA	
58698320	5899726123	Seattle, WA	
22961013	1481109164	Gig Harbor, WA	
22380533	5779417657	Seattle, WA	
29469454	5511299447	Seattle, WA	
5435872	5564421270	Vancouver, WA	
14134210	5640128813	Redmond, WA	
63085861	5733271585	Seattle, WA	
19508972	5484411132	Seattle, WA	
9154562	5213966310	Seattle, WA	
15052873	4925533231	Seattle, WA	
18854009	1709091449	Seattle, WA	
13930882	5271096307	Woodinville, WA	
6271152	3781446879	Seattle, WA	
15184616	5598200470	Seattle, WA	
10728432	2925850866	Seattle, WA	
14529625	4377802864	Tacoma, WA	
16496033	4729556637	Bonney Lake, WA	
84129227	5925889648	Seattle, WA	
70076714	4705977441	Seattle, WA	
14792516	3899643164	Seattle, WA	
38123427	5383742689	Sammamish, WA	
652293	6023983172	Seattle, WA	
8363722	4545510547	Seattle, WA	
74955514	4510345974	Olympia, WA	
20822832	5431863552	Seattle, WA	
29211557	6304648567	Seattle, WA	
62343666	5444217486	Olympia, WA	
31617136	2049002423	Seattle, WA	
17021943	5949122766	Seattle, WA	
2866221	6313993691	Seattle, WA	
9551102	5774012950	Woodinville, WA	
113963	5620313568	Seattle, WA	
9827552	6254402089	Redmond, WA	
19570576	5901332296	Seattle, WA	
85704106	5784134862	Seattle, WA	
45596175	5485345230	Seattle, WA	
46049499	5381621271	Seattle, WA	
24958411	2284254981	Seattle, WA	
43368514	5172797217	Seattle, WA	
47562829	3158078093	Tacoma, WA	
79020213	4645954223	Bellevue, WA	
85936869	5578979141	Federal Way, WA	
23577109	4152072118	Seattle, WA	
22528547	5571590094	Seattle, WA	
48166344	3519026263	Olympia, WA	
19252079	6118559516	Seattle, WA	
29761160	5608721978	Federal Way, WA	
16425197	5958986727	Redmond, WA	
77858946	4428635763	Spokane, WA	
12437232	5717935122	Lacey, WA	
72992834	5378405984	Seattle, WA	
16731192	5160428413	Snohomish, WA	
36817406	5204940492	Seattle, WA	
55298654	2951801557	Seattle, WA	
14535356	4838776142	Seattle, WA	
38521619	5367320066	Seattle, WA	
14535616	5433280260	Vancouver, WA	
45730892	5526178499	Tacoma, WA	
8637672	5566318050	Gig Harbor, WA	
29478278	5643909531	Seattle, WA	
14372089	5508332150	Bellevue, WA	
64616361	5811536713	Seattle, WA	
34120282	6344249622	Seattle, WA	
32624497	2827222226	Seattle, WA	
23449729	3738366515	Redmond, WA	
15847644	5488181629	Seattle, WA	
89772538	5811570799	Seattle, WA	
16513135	5831426424	Seattle, WA	
37999341	2120636588	Seattle, WA	
18469736	4946965580	Seattle, WA	
27513768	5278196826	Vancouver, WA	
31149556	5960156598	Vancouver, WA	
90449946	5983567070	Bellevue, WA	
16897145	5271824534	Bellevue, WA	
91870542	6154919372	Seattle, WA	
35771735	5490326694	Seattle, WA	
35903231	1843347155	Monroe, WA	
27252484	5626422654	Bellingham, WA	
19257231	5983491051	Bellevue, WA	
37869571	4701899334	Seattle, WA	
9689322	5932045141	Bellingham, WA	
69589259	5436080487	Redmond, WA	
18340152	5230237827		
1688741	4896855923	Seattle, WA	
12311002	5960102388	Seattle, WA	
19782176	5488390211	Olympia, WA	
1956411	5353578427	Olympia, WA	
16374692	5640814617		
85865206	6067302294	Seattle, WA	
17816644	6334867608	Camas, WA	
17030263	1915510137	Seattle, WA	
18996660	5076881399	Seattle, WA	
20963066	4947172686	Seattle, WA	
34463611	6019845648	Bellevue, WA	
16637963	5784553615	Seattle, WA	
14023372	5713265699	Seattle, WA	
15851833	4632179274	Redmond, WA	
14934401	5570142198	Seattle, WA	
14279055	5162279723	Seattle, WA	
33940007	5434146223	Bellevue, WA	
52820773	4842831603	Seattle, WA	
14410498	5655076323	Olympia, WA	
14389580	4863535007	Seattle, WA	
15314081	5661579623	Seattle, WA	
21357543	4804473026	Seattle, WA	
44819468	5444120294	Vancouver, WA	
5656192	5426097920	Seattle, WA	
6546872	5269566145	Seattle, WA	
37348814	4878793419	Seattle, WA	
20965072	5520084639	Seattle, WA	
12052632	5319851507	Seattle, WA	
1174201	5699627645	Seattle, WA	
59894716	6181644442	Seattle, WA	
86371318	6222474188	Spokane, WA	
15854614	4842024851	Seattle, WA	
17951924	2538942902	Olympia, WA	
17034634	5369120889	Redmond, WA	
5062691	5296567870	Seattle, WA	
782310	5542905226	Seattle, WA	
6208222	5481543577	Redmond, WA	
24244581	6392220381	Seattle, WA	
16249408	4900830452	Seattle, WA	
15594182	5642384275	Seattle, WA	
19787712	3850513082	Seattle, WA	
14939030	6121163723	Bellevue, WA	
16580090	4049496883	Seattle, WA	
14679555	6389803182	Tacoma, WA	
24925051	5866871923	Spokane, WA	
47052354	3998458794	Olympia, WA	
8978022	5724136199	Vancouver, WA	
14559961	5654530948	Redmond, WA	
13805872	6133252663	Vancouver, WA	
78116780	5069527189	Seattle, WA	
14284818	5425446502	Redmond, WA	
73487369	5472558794	Bothell, WA	
6027322	5962130682		
15726663	5912324567	Everett, WA	
14284875	5863941079	Tacoma, WA	
24902209	6214775454	Bellevue, WA	
7862912	5333421771	Seattle, WA	
15989384	5483213803	Seattle, WA	
18610909	4854568906	Seattle, WA	
18742140	3383844899	Seattle, WA	
71171150	4139383049	Everett, WA	
15858892	5442079010	Seattle, WA	
11140312	5958370947	Seattle, WA	
18742595	5734986706	Seattle, WA	
20446951	5804315108	Seattle, WA	
78774032	6267611421	Bellingham, WA	
45743945	4845695458	Spokane, WA	
73729840	5656920144	Issaquah, WA	
24119279	4345929753	Everett, WA	
72353797	4345245601	Seattle, WA	
35654066	1998710394	Seattle, WA	
17830581	3896521300	Bellevue, WA	
3150631	4330329893	Seattle, WA	
16782697	3800263771	Seattle, WA	
58726212	4096708815	Seattle, WA	
18880638	4307683735	Seattle, WA	
47193262	3655922302	Bothell, WA	
42999526	3961537381	Kennewick, WA	
39854223	3798226353	Tacoma, WA	
24127527	3906718253	Everett, WA	
41955050	3065948894	Tacoma, WA	
23080777	1928899872	Seattle, WA	
13161	4044942700	Seattle, WA	
16080558	4096923669	Seattle, WA	
16690582	4302697642	Seattle, WA	
10405682	3938519734	Spokane, WA	
7365272	3938999838	Seattle, WA	
63989036	3228136513	Spokane, WA	
15755973	4135161574	Bellingham, WA	
17854609	4175267016	Bellingham, WA	
22049557	4403246794	Seattle, WA	
33586137	3948600636	Seattle, WA	
14860409	4041564992	Seattle, WA	
15763566	4063534904	Olympia, WA	
35213	3890687395	Seattle, WA	
21007795	4009964543	Everett, WA	
44746495	3824530989	Seattle, WA	
40939170	3762789351	Seattle, WA	
15776184	4141946718	Seattle, WA	
26264464	4334032508	Seattle, WA	
18882867	3787712086	Seattle, WA	
14732246	4117531883	Lakeland North, WA	
15781767	3893332466	Bellingham, WA	
74509720	4039653098	Bothell, WA	
25227929	4142273763	Bellingham, WA	
49347855	3648357572	Tacoma, WA	
25002017	4119645575	Seattle, WA	
8399692	4060636485	Seattle, WA	
15796002	4367889556	Tukwila, WA	
23136911	4140802218	Seattle, WA	
14748743	4297906277	Seattle, WA	
50403400	4130769067	Seattle, WA	
7412702	1861463314	Puyallup, WA	
23142502	1307810376	Kennewick, WA	
25178135	3899671050	Seattle, WA	
36777555	4326785290	Everett, WA	
20001490	4033725565	Seattle, WA	
21050936	3431803479	Edmonds, WA	
14761888	3987644388	Wenatchee, WA	
18956618	3896088223	Spokane, WA	
20178728	3935220129	Kirkland, WA	
39930639	4387410189	Seattle, WA	
14170231	4044359947	Vancouver, WA	
17913242	2503357282	Tumwater, WA	
32593871	2489563470	Seattle, WA	
14768456	3697325837	Seattle, WA	
77259935	4373966417	Woodinville, WA	
17915693	4096540185	Tacoma, WA	
14770492	3799855037	Marysville, WA	
23361927	4060253000	Everett, WA	
39941481	4024083986	Port Angeles, WA	
34699620	3714014862	Seattle, WA	
20022998	4173636048	Seattle, WA	
22120698	4096551547	Bremerton, WA	
15832420	1034381432	Mukilteo, WA	
20029047	4397430452	Seattle, WA	
14787351	4017979194	Vancouver, WA	
42053733	3618240923	Vancouver, WA	
32617477	3331285990	Seattle, WA	
44152425	4167882806	Seattle, WA	
14796017	4172865896	Shelton, WA	
54577845	3997002120	Pasco, WA	
55691436	4302197058	Puyallup, WA	
4311961	3801359700	Seattle, WA	
20042136	4082428632	Lacey, WA	
68278677	3626231511	Seattle, WA	
65136232	3782275531	Seattle, WA	
18824047	3188961417	Puyallup, WA	
59896901	4064373883	Issaquah, WA	
52558634	3672323211	Everett, WA	
31587755	3835696339	Battle Ground, WA	
15859756	3994064055	Seattle, WA	
9574062	2913789309	Seattle, WA	
6428532	3800277424	Seattle, WA	
21109884	4165061290	Seattle, WA	
59908652	4094587935	Shoreline, WA	
64103061	4087712774	Seattle, WA	
43133239	4135963040	Seattle, WA	
14821850	3850856408	Seattle, WA	
15871677	3949690894	Pasco, WA	
33697584	4097631691	Seattle, WA	
20066919	3846791186	Seattle, WA	
28510567	4095145097	Seattle, WA	
32652567	4328435233	Seattle, WA	
42090834	4380730201	Spokane, WA	
14879499	4373083867	Olympia, WA	
32654528	3628113366	Centralia, WA	
45637876	4300921529	Seattle, WA	
27412011	3948753834	Arlington, WA	
50481140	4298493265	Vancouver, WA	
11683832	3875572746	Seattle, WA	
64113808	3868310721	Seattle, WA	
26365149	4332750858	Seattle, WA	
25319461	4308391445	Seattle, WA	
50485507	3991018386	Vancouver, WA	
14837159	3373343261	Bellingham, WA	
12741552	3924644950	Yakima, WA	
26374535	4318855992	Seattle, WA	
16938477	3920624934	Seattle, WA	
43193647	4013120790	Seattle, WA	
41059899	3999026057	Everett, WA	
41060366	4015138499	Ellensburg, WA	
11700302	3307784080	Burien, WA	
48401515	3229305814	Spokane, WA	
34770186	4307713477	Seattle, WA	
46305111	4039645732	Kirkland, WA	
5411532	3845786749	Spokane, WA	
76716215	4330343859	Spokane, WA	
17996943	3917906905	Anacortes, WA	
76717601	4328249496	Renton, WA	
64135287	4011527467	Seattle, WA	
14852457	3981479285	Seattle, WA	
73573397	4023181751	Seattle, WA	
20101703	4095662708	Spokane, WA	
15911231	3990817000	Vancouver, WA	
24301806	4111153749	Seattle, WA	
24303181	4134370171	Seattle, WA	
65199101	3829853543	Seattle, WA	
14867989	4044156305	Seattle, WA	
14870545	3949417524	Seattle, WA	
15919952	4066646780	Seattle, WA	
15920224	3919047901	Bothell, WA	
7532832	4040009742	Bellingham, WA	
15922280	4337509656	Arlington, WA	
3339411	3197270010	University Place, WA	
17159150	3983379416	Sunnyside, WA	
30603303	4062144711		
24313653	3820616924	Olympia, WA	
28508901	4090593800	Seattle, WA	
14878068	4062864286	Kennewick, WA	
9641422	4177050646	Bellingham, WA	
14888872	4071615293	Seattle, WA	
10693582	3411761977	Seattle, WA	
15940286	4047747205	Kirkland, WA	
32717962	4106504084	Puyallup, WA	
43203776	4295843956	Seattle, WA	
34815200	3296965896	Centralia, WA	
32721128	3531598046	Sammamish, WA	
24335139	4146705477	Seattle, WA	
61037650	3957697060	Seattle, WA	
67329792	3743573681	Spokane, WA	
23289825	4158430057	Seattle, WA	
37971491	4022599581	Seattle, WA	
17000168	4119230747	Seattle, WA	
14602398	4010275445	Mount Vernon, WA	
11397752	3896328518	Seattle, WA	
5472452	2899457110	Seattle, WA	
43225408	3947609411	Steilacoom, WA	
17012066	4117844573	Everett, WA	
14916156	4147054656	Spokane, WA	
15965271	4071580440	Redmond, WA	
2335781	4011120098	Seattle, WA	
42182425	4067928732	Seattle, WA	
66300289	4074407693	Bellevue, WA	
8108602	4319846108	Seattle, WA	
19120324	3995267735	Seattle, WA	
4447511	4353034237	Seattle, WA	
18079977	3788625699	Seattle, WA	
14937615	3878721283	Bellingham, WA	
19132660	3921391678	Redmond, WA	
69469000	4067965453	Seattle, WA	
15992014	3520228120	Olympia, WA	
18089466	3286421533	Redmond, WA	
32772899	4096700950	Lynnwood, WA	
27831866	4379890630	Seattle, WA	
12802422	3609077186	Edmonds, WA	
27531946	4083983001	Burien, WA	
17046913	2444483633	Pullman, WA	
68428652	3671032850	Fort Lewis, WA	
17049053	995638992	Seattle, WA	
62139717	3678932083	Seattle, WA	
48510235	3976924448	Spokane, WA	
14957506	2722379702	Spokane, WA	
28592236	2540730441	Everett, WA	
34192285	3962526016	Seattle, WA	
22301461	3995570860	Richland, WA	
74730754	4031415874	Seattle, WA	
18108848	4021326832	Spokane, WA	
57955455	4353497981	Seattle, WA	
72636074	3916461936	Seattle, WA	
16013211	4126190801	Clarkston, WA	
26499215	4145976086	Aberdeen, WA	
47472009	3614761971	Walla Walla, WA	
21261087	4044014133	Seattle, WA	
30702775	4133499685	Tacoma, WA	
6586772	4042402324	Seattle, WA	
21266855	4036158265	Seattle, WA	
16024474	3955867717	Seattle, WA	
6588842	4135480264	Seattle, WA	
15233352	4135898567	Seattle, WA	
25463324	4036037906	Sammamish, WA	
7639842	3823279106	Seattle, WA	
25465876	4139999158	Seattle, WA	
18127071	3905807900	Mountlake Terrace, WA	
7565012	3997573856	Seattle, WA	
22321565	4049514796	Seattle, WA	
22594683	3702968307	Battle Ground, WA	
5877452	3651370370	Bellevue, WA	
23373892	3903640637	Bremerton, WA	
14986377	3591481447	Seattle, WA	
41202453	3994535433	Kelso, WA	
8696722	3990128544	Newcastle, WA	
57979918	4096760840	Bellingham, WA	
42252308	4092098821	Tacoma, WA	
14992446	4153505267	Seattle, WA	
7653342	1563653007	Issaquah, WA	
17092413	4151669376	Seattle, WA	
5562532	3985360609	Tacoma, WA	
19201276	4112627929	Seattle, WA	
40173650	4028767655	Mill Creek, WA	
16058391	4030877959	Redmond, WA	
22351691	4049314188	Olympia, WA	
43795927	4387717718	Redmond, WA	
35984182	4088455370	Vancouver, WA	
23402791	4023140238	Aberdeen, WA	
48568996	3938039583	Seattle, WA	
23404010	4299614131	Seattle, WA	
17116117	3982873609	Spokane, WA	
46480298	3691355923	Seattle, WA	
35708872	3964279007	Issaquah, WA	
19219944	4017509297	Kirkland, WA	
19221749	4037976402	Kelso, WA	
74332586	4324808571	Vancouver, WA	
4545261	3845297502	Olympia, WA	
20274133	3940210566	Sammamish, WA	
11730	4150771448	Seattle, WA	
77001955	4405870421	Kent, WA	
47541096	3996690049	Yakima, WA	
39153431	2135172373	Gig Harbor, WA	
24473875	3401478621	Kirkland, WA	
48591452	3744251094	Clarkston, WA	
61178434	4101391475	Bellevue, WA	
16662699	3923152209	Bellingham, WA	
6454882	3923813084	Seattle, WA	
38115170	4158513132	Bothell, WA	
17144180	4411671815	Vancouver, WA	
25534209	4058717862	Bellevue, WA	
18194210	4093773419	Spokane, WA	
17400518	3891914295	Seattle, WA	
15050372	3943916082	Seattle, WA	
18200407	2334089476	Seattle, WA	
20298945	4017138183	Seattle, WA	
48610757	3234161736	Tumwater, WA	
16108403	3928713104	Redmond, WA	
28692989	4375352544	Seattle, WA	
44216567	3566524670	Seattle, WA	
18207444	3437671028	Redmond, WA	
29743396	4121171813	Seattle, WA	
1811941	4157327698	Seattle, WA	
29746449	3429645976	Olympia, WA	
9825642	3859352892	Seattle, WA	
15070234	4354557598	Seattle, WA	
16118892	3552051191	Camas, WA	
30799627	4118828109	Puyallup, WA	
43383502	4078013442	Tacoma, WA	
29754122	3770297524	Spokane, WA	
2494141	4080105809	Seattle, WA	
42341123	3566588348	Seattle, WA	
17820540	3869803713	Redmond, WA	
17178304	4067194492	Seattle, WA	
70657810	3979848334	Bellingham, WA	
17183158	4307087070	Pullman, WA	
20328899	4092232100	Seattle, WA	
33961759	4074625041	Vancouver, WA	
30818170	4353843861	Seattle, WA	
25577860	4014147813	Seattle, WA	
14047163	3923759507	Seattle, WA	
14047466	3778985981	Redmond, WA	
55993194	2662433030	Vancouver, WA	
30827872	1956647704	Seattle, WA	
15099528	3721305297	Seattle, WA	
38170859	4051974007	Seattle, WA	
27686379	3962971840	Bellingham, WA	
49706581	2475767713	Bellevue, WA	
26637959	3993343178	Woodinville, WA	
14055074	4060455121	Redmond, WA	
4618551	4092222744	Seattle, WA	
26639315	4047651118	Seattle, WA	
19299416	4150328013	Seattle, WA	
14062090	3883841107	Seattle, WA	
13703802	3999236142	Kent, WA	
16162931	4085438590	SeaTac, WA	
26650573	1788354718	Tacoma, WA	
23509936	4116064097	Seattle, WA	
15123290	4311760078	Pullman, WA	
17222338	4016919981	Seattle, WA	
46584126	2423044529	Ellensburg, WA	
21419067	3584167899	Vancouver, WA	
66508303	3810748571	Federal Way, WA	
20371105	4325108249	Seattle, WA	
15128516	3563793064	Seattle, WA	
37153783	3776442966	Seattle, WA	
74904183	4044650786	Bellingham, WA	
21428108	4336686358	Seattle, WA	
23527606	3976785214	Seattle, WA	
29820246	4140106916	Seattle, WA	
75958101	4140997272	Puyallup, WA	
72813069	4091999737	Seattle, WA	
17239901	2270558343	Seattle, WA	
18290022	4104404311	Seattle, WA	
27727410	4060145427	Seattle, WA	
18291549	3870473206	Olympia, WA	
27729449	3907893514	Seattle, WA	
17554738	1216203121	Kirkland, WA	
36122599	4072552032	Seattle, WA	
34025736	4075063275	Spokane, WA	
12486742	3945839069	Seattle, WA	
18297910	3985579033	Bellevue, WA	
24589499	4138775797	Pasco, WA	
36123911	3516791203	Kirkland, WA	
783937	4021269120	Vancouver, WA	
15938801	3674119830	Ephrata, WA	
64439392	4104038685	Seattle, WA	
20403086	4171371406	Lynnwood, WA	
27744283	2046778727	Vancouver, WA	
6772812	4176630775	Renton, WA	
16210141	4326214136	Seattle, WA	
19479187	3248327006	Aberdeen, WA	
40329800	3945281775	Seattle, WA	
12019742	4162061765	Sammamish, WA	
14116937	4297332493	Seattle, WA	
27748509	4036427492	Seattle, WA	
19479727	4092248895	Bremerton, WA	
36782356	3844248100	Port Townsend, WA	
14124789	3976870233	Seattle, WA	
15173868	4102670919	Renton, WA	
23564682	4036317354	Olympia, WA	
28808395	3807793348	Seattle, WA	
29858496	4157663000	Seattle, WA	
10984852	4153155887	Seattle, WA	
59221180	3564783622	Redmond, WA	
18327053	4069867553	Issaquah, WA	
15288903	4078189984	Seattle, WA	
23578878	4015681887	Seattle, WA	
19384969	4060594759	Puyallup, WA	
38259889	4130759515	Seattle, WA	
18338538	4090724371	Seattle, WA	
18785146	3847689624	Seattle, WA	
15193400	3890707135	Kent, WA	
42728099	3478320462	Seattle, WA	
44559626	4109279572	Seattle, WA	
13105072	3989023893	Spokane, WA	
14154006	3924722135	Walla Walla, WA	
66583904	3751096242	Vancouver, WA	
22544172	3620445253	Seattle, WA	
22546974	3658090056	Seattle, WA	
38275788	3972286175	Mercer Island, WA	
65540239	4308589838	Seattle, WA	
22551472	3974659194	Tacoma, WA	
24653556	4092913020	Spokane, WA	
15217444	4325171700	Seattle, WA	
20886474	4306040241	Bellingham, WA	
36191979	4025893563	Seattle, WA	
20464260	4039140631	Seattle, WA	
16274087	4404595540	Tacoma, WA	
36198795	4129793191	Everett, WA	
24033948	3782313631	Richland, WA	
14181466	4011474564	Redmond, WA	
14181605	4080715428	Seattle, WA	
23619868	3543482442	Spokane, WA	
29913066	4097445643	Tacoma, WA	
28054221	3237916900	Seattle, WA	
21525394	4326289293	Bothell, WA	
19429172	3979788333	Pullman, WA	
17332240	4127497256	Bellingham, WA	
59275382	3798788900	Spanaway, WA	
14188969	4085170621	Renton, WA	
58229856	4017090375	Seattle, WA	
22581520	4115281133	Pasco, WA	
41456053	3744329289	Seattle, WA	
14194198	4135476951	Bellingham, WA	
62429081	4422389139	Vancouver, WA	
19437895	3509276504	Spokane, WA	
67511842	4036709888	Bothell, WA	
47753738	3826089472	Spokane, WA	
21540702	4136867098	Mukilteo, WA	
66629740	4050449269	Tacoma, WA	
14200945	4046386322	Seattle, WA	
55096910	3054225655	Bellingham, WA	
20495742	3923651086	Seattle, WA	
16303059	4094358297	Seattle, WA	
5819182	4160186431	Everett, WA	
14209658	4066195310	Seattle, WA	
7918312	4040783841	Seattle, WA	
20019891	3983989970	Mercer Island, WA	
14788929	4308847526	Bellingham, WA	
10021212	3999936762	Yakima, WA	
17362123	3854219999	Bellingham, WA	
76083536	4162902218	Seattle, WA	
71889803	4048216247	Seattle, WA	
23656251	1338683902	Olympia, WA	
67702639	3922994611	Seattle, WA	
3739591	4383626464	Seattle, WA	
17373082	4002993483	Seattle, WA	
64559191	4311203695	Seattle, WA	
73998711	3974652048	Tacoma, WA	
14230344	2707383265	Monroe, WA	
10039892	4153082211	Tacoma, WA	
7942752	2125012314	Seattle, WA	
19477377	4046373277	Tacoma, WA	
14605819	2679186486	Seattle, WA	
15285561	3136848241	Redmond, WA	
6897252	4344780626	Seattle, WA	
16334772	4342294616	Seattle, WA	
18433451	2896837491	Maple Valley, WA	
16336674	4016790292	Marysville, WA	
18435056	4060277496	Seattle, WA	
15942191	4034733092	Tacoma, WA	
21878074	4067472351	Vancouver, WA	
619693	4395564309	Seattle, WA	
14255160	4019175347	Seattle, WA	
14255185	4110508626	Sammamish, WA	
49907570	3962214381	Seattle, WA	
19329434	4062009396	Seattle, WA	
14256894	4112557437	Seattle, WA	
28938619	3883692713	Kirkland, WA	
18279968	3248135649	Seattle, WA	
23696866	3873364705	Bellingham, WA	
54106139	3170013132	Seattle, WA	
19328865	4036726261	Seattle, WA	
16358675	4115590787	Seattle, WA	
56205755	3875823245	Seattle, WA	
37333539	4059261898	Kirkland, WA	
22653786	3703000032	Edmonds, WA	
17411048	4048331574	Kent, WA	
38383922	2032580621	Seattle, WA	
23705750	3971220231	Renton, WA	
21609187	4088748893	Enumclaw, WA	
60406850	3692636382	Seattle, WA	
15318371	3939153823	Seattle, WA	
23707004	3335552669	Seattle, WA	
68798367	4024756076	Seattle, WA	
15136500	4003546198	Seattle, WA	
47830762	4098708773	Seattle, WA	
57269448	3814773317	Renton, WA	
18473306	4298887509	Seattle, WA	
17427865	4323422782	Bellingham, WA	
19889014	4047707900	Bellingham, WA	
20575980	4043909850	Tacoma, WA	
71957105	3792483048	Bellevue, WA	
8322922	3962992053	Bellingham, WA	
633623	4155795845	Gig Harbor, WA	
12191892	4049078559	Seattle, WA	
18484339	4034482852	Bainbridge Island, WA	
14290059	4011224948	Seattle, WA	
15314145	3723433501	Seattle, WA	
21630899	4177870861	Seattle, WA	
27927682	4017368619	Walla Walla, WA	
665533	4010647105	Seattle, WA	
15351444	4060147776	Seattle, WA	
27935689	3979478354	Seattle, WA	
17450215	3900120839	Tacoma, WA	
14305100	4012772405	Seattle, WA	
1722901	3989509185	Seattle, WA	
73027455	3927630578	Seattle, WA	
45767959	3060363408	Redmond, WA	
19558186	3993011018	Seattle, WA	
47870319	4090398682	Seattle, WA	
14445018	4009146766	Seattle, WA	
24804512	3904464779	Kirkland, WA	
687593	4138520718	Bellevue, WA	
14320660	3990581418	Yakima, WA	
27952624	1803405544	Federal Way, WA	
15370306	4085835067	Puyallup, WA	
27957822	4082414265	Seattle, WA	
13535762	4054730338	Seattle, WA	
20214069	4090500751	Pullman, WA	
14333872	4047989330	Bellevue, WA	
44745042	4116376485	Tacoma, WA	
44746049	2123809327	Washougal, WA	
15386041	3922780840	Yakima, WA	
27970466	4141179499	Seattle, WA	
76206980	4322810494	Port Orchard, WA	
19585384	4139045411	Seattle, WA	
48946085	3827387899	Seattle, WA	
21683337	4068945740	Bellevue, WA	
14164970	4108676176	Seattle, WA	
33150043	3339583975	Bainbridge Island, WA	
73072244	4052331909	Seattle, WA	
14352556	4166006623	Seattle, WA	
21693248	3473620598	Port Angeles, WA	
71423514	3994495814	Everett, WA	
14355147	4178210031	Issaquah, WA	
29131530	4135280218	Seattle, WA	
25891590	4051515423	Bellevue, WA	
52106121	4173701644	Tacoma, WA	
75175103	4297251392	Seattle, WA	
27991247	4115717629	Tacoma, WA	
16457666	3076067601	Seattle, WA	
18471611	4347526855	Seattle, WA	
24588789	2388357032	Olympia, WA	
14364154	3950768505	Seattle, WA	
16461635	4092334617	Seattle, WA	
63211742	4086957367	Longview, WA	
52115152	4012065107	Redmond, WA	
15415314	4089671425	Seattle, WA	
15419610	4022727277	Renton, WA	
17517499	4152755315	Redmond, WA	
18566936	4300017594	Shoreline, WA	
57364505	3805977615	Bellingham, WA	
26956175	3985844328	Port Angeles, WA	
28004936	4111319798	Seattle, WA	
74570713	4110292453	Seattle, WA	
37443681	4114785233	Ephrata, WA	
15428509	4041408717	Seattle, WA	
29060093	2462282364	Covington, WA	
18574766	3952755877	Puyallup, WA	
14381486	4141495216	Milton, WA	
53179741	4143901851	Seattle, WA	
55277606	4298248401	Vancouver, WA	
19627320	2648077217	Seattle, WA	
1802251	3407629711	Seattle, WA	
17531831	4110481244	Richland, WA	
14386923	4079610788	Maple Valley, WA	
11242392	3714697361	Seattle, WA	
76526516	4307184166	Bremerton, WA	
45846762	3720895985	Seattle, WA	
15438115	3902902827	Bellingham, WA	
32218601	3812925654	Tacoma, WA	
72371651	3998484652	Kennewick, WA	
60531357	3996651644	Tacoma, WA	
16495510	3748754085	Monroe, WA	
15447311	3801400246	Kingsgate, WA	
19641728	4072490584	Seattle, WA	
20691538	3927458131	Seattle, WA	
29082272	4096890410	Tacoma, WA	
75220072	4074090993	Seattle, WA	
75221515	4074285715	Olympia, WA	
45866814	3632542245	Seattle, WA	
34332853	3913716020	Spokane, WA	
25944418	4050477167	Tacoma, WA	
14460663	3806286661	Marysville, WA	
14414200	4087907004	Seattle, WA	
44824361	4111852498	Seattle, WA	
15464969	3944107015	Sammamish, WA	
10225082	4152491404	Seattle, WA	
14424716	3846963390	Tacoma, WA	
16522771	3985453080	Seattle, WA	
46931587	4086338714	Kent, WA	
43787123	3905897367	Pasco, WA	
62661738	4111966444	Vancouver, WA	
6039992	3946637393	Seattle, WA	
74198919	3984154079	Seattle, WA	
42743795	4336960295	Bellevue, WA	
6043952	4012808689	Seattle, WA	
18627061	4175754867	Seattle, WA	
19675774	3191034603	Seattle, WA	
6044312	3869158595	Renton, WA	
657873	4165677843	Seattle, WA	
15481744	3883215915	Seattle, WA	
36453910	3965575269	Lynnwood, WA	
14434628	4109696000	Seattle, WA	
25970601	4044512428	Seattle, WA	
70014108	3885037253	Ellensburg, WA	
39609398	4081683589	Seattle, WA	
14443713	4089585838	Bellevue, WA	
11299442	2680457081	Bainbridge Island, WA	
47999614	3888794895	Seattle, WA	
45903086	2672542287	Renton, WA	
71069897	3721580828	Spokane, WA	
73168019	4088216126	Seattle, WA	
52197676	4134987147	Seattle, WA	
70024258	4152895316	Olympia, WA	
30179171	4155506619	Spokane, WA	
7111902	3746063777	Seattle, WA	
43128661	4159102881	Seattle, WA	
12358342	4158659973	Bellingham, WA	
41719383	3866248653	Kirkland, WA	
17603461	3767051722	Seattle, WA	
30186946	3988858671	Seattle, WA	
24948156	1344643139	Olympia, WA	
1879541	3996938392	Seattle, WA	
64794579	4062518392	Seattle, WA	
70037513	3700169313	Auburn, WA	
33337436	3756254886	Bellevue, WA	
18658158	2732877653	Bellingham, WA	
21804935	3962782823	Seattle, WA	
13416682	4058767239	Vancouver, WA	
59554639	3293142533	Poulsbo, WA	
34389455	4049589885	Seattle, WA	
23904095	2842711677	Puyallup, WA	
52602930	4090479049	Tacoma, WA	
16564534	4393561481	Lynnwood, WA	
21808772	4015613017	Federal Way, WA	
41732874	3957215672	Seattle, WA	
24957872	4020577321	Redmond, WA	
14472369	4023333288	Seattle, WA	
74241401	4056044543	Pasco, WA	
16393162	3580346581	Everett, WA	
57287823	2667534415	Spokane, WA	
72339490	4156128870	Battle Ground, WA	
24965988	4177661396	Seattle, WA	
848901	3927545851	Seattle, WA	
16578875	4388587840	Kennewick, WA	
28116497	4101885143	Seattle, WA	
22875696	3986444975	Seattle, WA	
15536641	3949321669	Seattle, WA	
57479890	3284804063	Arlington, WA	
32314183	3973501141	Seattle, WA	
37558460	4010680320	Vancouver, WA	
