74585956	6191219088	YA: Fair and 59 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1014.6 mb and the humidity is 46%.				Yorba Linda, California
29814453	4405679214	mom and dad are out for their anniversary dinner and me and ash are ordering pizza in tonight! girls night! #fiestamovement	2009-09-26 19:29:04				Yorba Linda, CA
29814453	4404025761	also just wanted to give a shout out to a fans 12 yr old nephew Trey, and wish him good luck in his Jr Dragster this weekend and stay safe!	2009-09-26 17:59:44				Yorba Linda, CA
29814453	4403917401	won 1st round but practicing on my tree since my lights need improvement!! #fiestamovement	2009-09-26 17:53:43				Yorba Linda, CA
29814453	4401474419	ran a 5.38 on my last qualifying pass. warmed my car up and getting ready for 1st round now! #fiestamovement	2009-09-26 15:39:49				Yorba Linda, CA
29814453	4397139247	warmed my car up and now im getting ready to go up and watch JFR teams and have Q3! #fiestamovement	2009-09-26 11:58:55				Yorba Linda, CA
29814453	4379387692	just ran my quickest run ever!!! 5.26 seconds! im in the field! #fiestamovement	2009-09-25 17:08:20				Yorba Linda, CA
29814453	4378197937	back in my firesuit and ready to race Q2... hopefully my car makes a smoothe run down the track! #fiestamovement	2009-09-25 16:09:37				Yorba Linda, CA
29814453	4376344876	smoked the tires on the hit for my Q1. getting ready to warm my car up, run up and watch dad then run my Q2! #fiestamovement	2009-09-25 14:41:38				Yorba Linda, CA
29814453	4373087002	just filmed with dad for castrol! now getting suited up and about to go sign for the fans at my ropes before we run! #fiestamovement	2009-09-25 12:13:31				Yorba Linda, CA
29814453	4354732440	landed in Dallas and heading to the hotel! #fiestamovement	2009-09-24 18:40:41				Yorba Linda, CA
29814453	6023180377	vote for me as your favorite FIESTA Agent at http://fiestamovement.com/votes #fiestamovement	2009-11-24 17:35:44				Yorba Linda, CA
29814453	5905295295	going to pick up dad in the fiesta for some father daughter time!! #fiestamovement	2009-11-20 18:27:19				Yorba Linda, CA
29814453	5810217731	cant believe the race season has ended. had a great time at the nhra banquet last night to celebrate Roberts championship, so congrats 2 him	2009-11-17 17:35:28				Yorba Linda, CA
29814453	5759527074	successful weekend...ended the season going all the way to the final round! NHRA banquet tomorrow! congrats Neff and Robert! #fiestamovement	2009-11-16 01:20:00				Yorba Linda, CA
29814453	5728154364	Britt and I won 1st round and Roberts champion!! such a good day! #fiestamovement	2009-11-14 22:31:10				Yorba Linda, CA
29814453	5716279289	getting ready to warm my car up then 1st round elim at 1PM! #fiestamovement	2009-11-14 13:30:43				Yorba Linda, CA
29814453	5653294530	i cant believe the pomona finals are here!!.. driving out to the track now! #fiestamovement	2009-11-12 10:41:04				Yorba Linda, CA
29814453	5472324235	Getting ready for the Las Vegas divisional race this weekend! #fiestamovement	2009-11-06 00:12:59				Yorba Linda, CA
29814453	5405096524	so i saw the cutest car today and i swear i didnt even realize it was the new ford focus until after... im in love. #fiestamovement	2009-11-03 17:29:25				Yorba Linda, CA
29814453	5387115580	@LindaPTaylor Thanks!	2009-11-03 02:29:16				Yorba Linda, CA
29814453	5387114274	@linkerm Thank you!!	2009-11-03 02:29:09				Yorba Linda, CA
29814453	5369555679	Ended the wknd in Vegas going to the Semi-Final round and got the Fiesta on the Ford Display and visited a few Ford dealerships! Great wknd!	2009-11-02 12:36:05				Yorba Linda, CA
29814453	5369144493	Check out my mission 6 video that is very close to my heart. http://bit.ly/24QkTq #fiestamovement	2009-11-02 12:17:39				Yorba Linda, CA
29814453	5344746049	Hight wins over Ashley Force Hood. #nhralv2	2009-11-01 14:03:23				Yorba Linda, CA
29814453	5344131721	Funny Car round one about to start #nhralv2	2009-11-01 13:33:41				Yorba Linda, CA
29814453	5344096450	Check this video out -- Courtney Force - Mission 6 http://bit.ly/24QkTq #fiestamovement	2009-11-01 13:32:12				Yorba Linda, CA
29814453	5343688287	Check out my new Mission video on Youtube #fiestamovement	2009-11-01 13:12:41				Yorba Linda, CA
29814453	5242426388	Remember, you need to bring the colored sharpies....#fiestamovement	2009-10-28 17:27:29				Yorba Linda, CA
29814453	5242416131	1st to get all hero cards signed in the correct color give them to Chad at Ford Country! Good Luck! #fiestamovement	2009-10-28 17:27:04				Yorba Linda, CA
29814453	5242356571	3. My dad- Ford Country, hero card signed in green #fiestamovement	2009-10-28 17:24:38				Yorba Linda, CA
29814453	5242334249	1. Ashley-Team Ford, hero card signed in pink. 2. Mike/Robert - Friendly Ford hero cards signed in blue #fiestamovement	2009-10-28 17:23:42				Yorba Linda, CA
29814453	5242320865	SEMA tickets tomorrow. The clues: go to JFR autograph sessions (in order) 5:30pm - 7:30pm tomorrow. #fiestamovement	2009-10-28 17:23:08				Yorba Linda, CA
29814453	5203650600	7. Get an autograph in the color of my dad’s firesuit;				Yorba Linda, CA
29814453	5203633706	6. Get an autograph in the color of Robert’s firesuit and Mike’s car (same color) #fiestamovement	2009-10-27 10:53:04				Yorba Linda, CA
29814453	5203617556	5. Get an autograph in the color of Ashley’s ROTY car #fiestamovement	2009-10-27 10:52:25				Yorba Linda, CA
29814453	5203594133	4. Make an “appearance” on www.johnforceracing.com to see what’s in common #fiestamovement	2009-10-27 10:51:27				Yorba Linda, CA
29814453	5203571622	Wanted to confirm clues so far, pay attention to the order				Yorba Linda, CA
21035107	5331284102	Red & hot! http://bit.ly/2IDTfK	2009-10-31 23:50:57				Yorba Linda, California
21035107	5331261848	ADANIAS Boutique http://bit.ly/xlgWt	2009-10-31 23:49:30				Yorba Linda, California
21035107	5331205249	ADANIAS Boutique http://bit.ly/1sRNsD	2009-10-31 23:45:53				Yorba Linda, California
21035107	5331194055	ADANIAS Boutique http://bit.ly/3jxZc	2009-10-31 23:45:12				Yorba Linda, California
21035107	5280903208	Happy Halloween! http://bit.ly/16E5AP	2009-10-30 01:00:22				Yorba Linda, California
21035107	5223247150	Don't Miss Our 2nd. Year Anniversary SALE!  ?				Yorba Linda, California
21035107	5220801716	http://twitpic.com/n83g3 - Don't Miss Our 2nd Year Anniversary SALE!	2009-10-27 22:11:41				Yorba Linda, California
21035107	5190758630	Black and Gold Bracelet http://bit.ly/1QHE7h	2009-10-26 21:28:45				Yorba Linda, California
21035107	5190739106	Hamsa - Symbol of protection http://bit.ly/4c89N	2009-10-26 21:27:55				Yorba Linda, California
21035107	5190697590	Triple Peace http://bit.ly/bMAYr	2009-10-26 21:26:06				Yorba Linda, California
21035107	5190681407	Wrap it chic http://bit.ly/3egEKv	2009-10-26 21:25:25				Yorba Linda, California
21035107	5190658044	Love my heart? http://bit.ly/4BnvKW	2009-10-26 21:24:26				Yorba Linda, California
21035107	5190626332	Are you feeling lucky? http://bit.ly/Z8ojU	2009-10-26 21:23:05				Yorba Linda, California
21035107	5190428325	Evial Eye - Good luck & protection symbol http://bit.ly/O6nYg	2009-10-26 21:14:45				Yorba Linda, California
21035107	5190359400	Peace Bracelet http://bit.ly/3YsVMl	2009-10-26 21:11:49				Yorba Linda, California
21035107	5190266463	Wrap yourself on Love... http://bit.ly/eOhAc	2009-10-26 21:07:53				Yorba Linda, California
21035107	5137203333	Excitement is in the air! Get geared up and get ready for what's coming soon at ADANIAS! http://bit.ly/1OZvdL	2009-10-24 21:00:30				Yorba Linda, California
21035107	5099151655	Beauty News Flash: Nail Polish Ban in Japan! http://bit.ly/qdWbK	2009-10-23 10:26:53				Yorba Linda, California
21035107	5063837165	www.ADANIAS.net From Mary Lou's Vintage http://bit.ly/4xXPhZ	2009-10-22 01:52:59				Yorba Linda, California
21035107	5063811107	www.ADANIAS.net http://bit.ly/716bR	2009-10-22 01:50:57				Yorba Linda, California
21035107	5063801637	www.ADANIAS.net http://bit.ly/2qqAGW	2009-10-22 01:50:14				Yorba Linda, California
21035107	5063789682	www.ADANIAS.net http://bit.ly/qRl85	2009-10-22 01:49:22				Yorba Linda, California
21035107	4943309091	www.ADANIAS.net http://bit.ly/yv4y8	2009-10-17 09:54:31				Yorba Linda, California
21035107	4943254275	www.ADANIAS.net http://bit.ly/LUoqo	2009-10-17 09:51:37				Yorba Linda, California
21035107	4943219701	www.ADANIAS.net http://bit.ly/2ES4lb	2009-10-17 09:49:51				Yorba Linda, California
21035107	4943197136	Rings...many choices.				Yorba Linda, California
21035107	4934935044	www.ADANIAS.net http://bit.ly/LLTsb	2009-10-16 23:00:40				Yorba Linda, California
21035107	4934789769	I love Butterflies?				Yorba Linda, California
21035107	4934735097	I love it!				Yorba Linda, California
21035107	4934694592	Check ILuck				Yorba Linda, California
21035107	4934649244	They are edgy & magnetic ?				Yorba Linda, California
21035107	4934586961	New Bracelets				Yorba Linda, California
21035107	4848072300	Great place for jackets, polos, uniforms and many more! Check them out...				Yorba Linda, California
21035107	4847992551	http://bit.ly/Lpcsn	2009-10-13 18:40:56				Yorba Linda, California
21035107	4809188283	www.ADANIAS.net: http://bit.ly/6MIPg	2009-10-12 09:10:00				Yorba Linda, California
21035107	4809160871	She looks HOT?				Yorba Linda, California
21035107	4795086681	www.ADANIAS.net: http://bit.ly/44lZEa	2009-10-11 18:16:04				Yorba Linda, California
21035107	4774887809	Fiesta Latina at The White House - October 15th http://bit.ly/3haFRk	2009-10-10 21:13:42				Yorba Linda, California
21035107	4774843837	First Latina...				Yorba Linda, California
21035107	4767573204	RT@714mediaRT @ImagineLuxury Luxury spending on the rise http://bit.ly/9iRfV	2009-10-10 14:57:36				Yorba Linda, California
7822352	5489475002	cue news: CUE to Host Fall Conference in Napa Valley in 2010 http://bit.ly/476fys	2009-11-06 15:29:08				Yorba Linda, CA
7822352	5489472112	new post: A Turkey Song http://bit.ly/1SngqA	2009-11-06 15:29:00				Yorba Linda, CA
7822352	5487299090	RT @cueinc: CUE announces return of Fall Conference in Napa Valley one year from today! :: http://bit.ly/1yugyD	2009-11-06 13:53:21				Yorba Linda, CA
7822352	5468045739	Ok - based on a recommendation - I'm heading to "Hamburger Patties" on J street. Feel free to join me!	2009-11-05 20:37:30				Yorba Linda, CA
7822352	5466693469	Looking for any twitter friends in Sacramento for spontaneous tweet up dinner tonight...DM me....	2009-11-05 19:41:46				Yorba Linda, CA
7822352	5466088683	Just wrapped up focus group for CA Library Standards - any additional thoughts or suggestions, email librarystandards@cde.ca.gov	2009-11-05 19:16:50				Yorba Linda, CA
7822352	5465241726	At Calif. Dept. of Ed Focus Group with Librarians providing comment on Draft Library Standards - http://bit.ly/2HCNZB comments?	2009-11-05 18:41:43				Yorba Linda, CA
7822352	5451240744	blogging... Good, Better, Blue to Sac: http://bit.ly/2XopQ8	2009-11-05 09:03:25				Yorba Linda, CA
7822352	5428317876	Still room left in Google Workshop for Administrators in Orange County! Sign up today - http://bit.ly/c9yZl	2009-11-04 13:38:17				Yorba Linda, CA
7822352	5425786601	Checking out "What Works" online conference hosted by CTA - FREE reg for any CUE members - DM me if interested....http://bit.ly/JQNSM	2009-11-04 11:46:12				Yorba Linda, CA
7822352	5410423081	@PodPirate love it. When? Where?	2009-11-03 21:06:41				Yorba Linda, CA
7822352	5403659962	cue news: CA Races to the Top - CUE at the starting line.... http://bit.ly/VOrjV	2009-11-03 16:31:10				Yorba Linda, CA
7822352	5398013911	@ocpeter Got one, thanks!	2009-11-03 12:28:28				Yorba Linda, CA
7822352	5397596725	At CA Race to the Top Regional Meeting - interesting plans...	2009-11-03 12:10:35				Yorba Linda, CA
7822352	5366892004	cue news: CUE Awards Applications Now Being Accepted! http://www.cue.org/awards	2009-11-02 10:37:23				Yorba Linda, CA
7822352	5356205105	playing around with twitter's new list feature. Pretty cool, but I already know I'm going to need a 'bulk add' feature for this to be useful	2009-11-01 22:56:00				Yorba Linda, CA
7822352	5320248059	blogging... Tech & Treat at Gold Coast CUE!: http://bit.ly/p8yAi	2009-10-31 14:02:56				Yorba Linda, CA
7822352	5278840618	@mhammons nice pic! It was good seeing you tonight. I hope it was a productive meeting!	2009-10-29 22:51:27				Yorba Linda, CA
7822352	5260473597	Got my #cue10 Conference Registration Brochure in the mail!	2009-10-29 09:54:54				Yorba Linda, CA
7822352	5260105504	Back home and energized from #brkthrulearning event	2009-10-29 09:39:22				Yorba Linda, CA
7822352	5242425909	Looks like a rogue DM was sent out to my Twitter followers - please delete without clicking & accept my apologies...	2009-10-28 17:27:28				Yorba Linda, CA
7822352	5241378071	John Merrow - "I don't think schools realize how threatened they are...." #brkthrulearning	2009-10-28 16:44:12				Yorba Linda, CA
7822352	5241240611	Questions posed to panel by @fitzwalsh and @bbray were just asked. Great questions, both!	2009-10-28 16:38:29				Yorba Linda, CA
7822352	5241233469	blogging... High Tech Head: http://bit.ly/3yTqsI	2009-10-28 16:38:11				Yorba Linda, CA
7822352	5239457392	Sergey Brin advocates passion-based learning... and living. :) (via @markwagner) #brkthrulearning	2009-10-28 15:21:14				Yorba Linda, CA
7822352	5237564061	Just showed student-produced video on subtracting polynomials - awesome! http://bit.ly/2YQyZv #brkthrulearning	2009-10-28 13:56:06				Yorba Linda, CA
7822352	5237090488	Jason Levy and Katie Salen sharing on the ground examples of turning around and starting schools from scratch #brkthrulearning	2009-10-28 13:34:32				Yorba Linda, CA
7822352	5236069354	discussion now on literacy: how should we prioritize Digital/Media Literacy vs. trad. literacy. Not sure why  they insist on distinction?	2009-10-28 12:48:08				Yorba Linda, CA
7822352	5235820375	Challenges the Atlantic headline: "Is Google Making us Stoopid?"	2009-10-28 12:37:12				Yorba Linda, CA
7822352	5235803525	Marissa Mayer & Dan Russell from Google on stage - "having the world's information at fingers [sic] allows for more critical thinking"	2009-10-28 12:36:27				Yorba Linda, CA
7822352	5235756312	Sharing laptop power with Steph Olsen from C|NET & @markwagner	2009-10-28 12:34:24				Yorba Linda, CA
7822352	5235261613	Nichole Pinkard up to discuss You Media effort in Chicago #brkthrulearning	2009-10-28 12:12:55				Yorba Linda, CA
7822352	5235160042	Lisa Guernsey, Director, Early Education Initiative, New America Foundation takes stage #brkthrulearning	2009-10-28 12:08:30				Yorba Linda, CA
7822352	5235014893	RT @jodylo: RT @mcleod Forecast: 10.5 Million PreK-12 Students Will Attend Classes Online by 2014 http://bit.ly/YhOHp	2009-10-28 12:02:21				Yorba Linda, CA
7822352	5234932382	Hastings invokes "This too shall pass..." educator reaction as a reason to be wary of 'crisis motivations', Ito reframes as 'opportunity'	2009-10-28 11:59:00				Yorba Linda, CA
7822352	5234881151	@markwagner pulled clutch maneuver in finding one of only two power outlets in the room as we walked in-add my tool: http://bit.ly/19k3FH !	2009-10-28 11:56:48				Yorba Linda, CA
7822352	5234717623	Realized I posted yesterday's live video link for #brkthrulearning - here's the correct one: http://bit.ly/4mYRj6	2009-10-28 11:49:53				Yorba Linda, CA
7822352	5234535895	Reed Hastings, CEO of netflix on stage, and the event takes a turn towards cynicism ....	2009-10-28 11:42:10				Yorba Linda, CA
7822352	5234295387	Jim Steyer, CEO and Founder, CommonSense Media takes stage - issuing an intense challenge to the audience to 'revolutionize the classroom'	2009-10-28 11:32:05				Yorba Linda, CA
7822352	5233995217	RT @elemenous: Research . Cellphone . PBS KIDS Raising Readers http://ow.ly/x6BV #brkthrulearning	2009-10-28 11:19:29				Yorba Linda, CA
46415654	3542412298	Ordering background checks made easy. Our new online ordering system uses the most innovative web technology. http://bit.ly/leOoc	2009-08-25 16:03:02				Yorba Linda, CA
46415654	3538339932	Simplicity meets flexibility in Liberty Alliance’s revolutionary new ordering process. DM us for more information. http://bit.ly/leOoc	2009-08-25 12:01:20				Yorba Linda, CA
46415654	3520139965	Looking for a new job? If you want to go into your interviewer absolutely prepared, why not run a background check? http://bit.ly/3on25b	2009-08-24 16:02:04				Yorba Linda, CA
46415654	3516546424	Not sure what's on your record? Want to run a quick and cheap background check on yourself? Click on this link to do it http://bit.ly/3on25b	2009-08-24 12:30:35				Yorba Linda, CA
46415654	3458430506	Do you run background checks? If not, you could be putting yourself and your company at risk. DM us for more information http://bit.ly/leOoc	2009-08-21 16:11:03				Yorba Linda, CA
46415654	3453441572	#followfriday @BandCon @daveberkus @dmanzoori @CornerstoneInc @kimproctor @decisiontoolbox @Olitho22 & CEO @chrisdyer7 http://bit.ly/leOoc	2009-08-21 11:57:22				Yorba Linda, CA
46415654	3435933183	According to the Society for Human Resource Management , 50 % of all resumes and applications contain fabrications http://bit.ly/leOoc	2009-08-20 16:33:21				Yorba Linda, CA
46415654	3431561225	Please be advised- Due to the financial crisis in CA, all CA courts will be closed the 3rd Wed of each month from June 2009 to June 2010.	2009-08-20 12:40:34				Yorba Linda, CA
46415654	3229647558	Nurse of the year, not even a nurse?  DM Liberty Alliance for more info on our background check services.  http://bit.ly/12XoVu	2009-08-10 13:32:05				Yorba Linda, CA
46415654	2891464736	We would love to help you with your DOT and Non-DOT drug tests....DM us for more information and pricing.	2009-07-28 10:25:25				Yorba Linda, CA
46415654	2878718505	Do you background check your contractors? We can help, and allow them to pay for it. DM us for more information.	2009-07-27 17:25:04				Yorba Linda, CA
46415654	2877736193	What type of searches do you run for tenants?	2009-07-27 16:24:22				Yorba Linda, CA
46415654	2876736071	What type of searches do you run in your background check?	2009-07-27 15:24:11				Yorba Linda, CA
46415654	2802003378	Happy Thursday twitterland.  DM us with any questions regarding background checks, drug testing, etc...	2009-07-23 12:34:09				Yorba Linda, CA
46415654	2746439666	Background Checks, Drug Testing, I-9 Verifications and more...it is all here: http://tinyurl.com/mnvntp	2009-07-20 17:05:11				Yorba Linda, CA
46415654	2745473596	Who knew Drug Testing could be this easy? http://tinyurl.com/krywy8	2009-07-20 16:04:08				Yorba Linda, CA
46415654	2743574832	I-9 Verifications made easy: http://tinyurl.com/n3xo6y	2009-07-20 14:04:40				Yorba Linda, CA
46415654	2742591905	Liberty Alliance receives award for its customer service from Open Ratings, a Dunn and Bradstreet Company? http://tinyurl.com/mnvntp	2009-07-20 13:02:36				Yorba Linda, CA
46415654	2741582011	Learn how Liberty Alliance can help your company: http://tinyurl.com/mnvntp	2009-07-20 11:59:04				Yorba Linda, CA
46415654	2661076332	Need help with I9 verifications?  DM us for more information.	2009-07-15 19:46:50				Yorba Linda, CA
46415654	2420920994	@chrisdyer7 CEO of Liberty Alliance is speaking to the Painters Contractor Guild of Orange County today about background checks.	2009-07-01 09:51:08				Yorba Linda, CA
46415654	2410834233	Thanks to everyone that stopped by our booth at SHRM.  Especially everyone in Tweetland.  Have a safe trip home, and a great 4th of July.	2009-06-30 17:30:58				Yorba Linda, CA
46415654	2407101375	1 hour to go....don't miss your chance to visit booth 1237.	2009-06-30 13:02:30				Yorba Linda, CA
46415654	2406131210	Don't forget to stop by our booth at SHRM today, booth 1237.   You could win an iPod Touch, improve your background checks, drug testing...	2009-06-30 11:53:48				Yorba Linda, CA
46415654	2394824641	@theredrecruiter Where is the press room?	2009-06-29 17:53:01				Yorba Linda, CA
46415654	2392597990	Lot's of traffic at the Liberty Alliance booth today at SHRM.   Come by and hi, booth 1237.  http://twitpic.com/8s91b	2009-06-29 15:08:46				Yorba Linda, CA
46415654	2390659316	Stop by booth 1237 for your chance to win and iPod Touch.	2009-06-29 12:48:38				Yorba Linda, CA
46415654	2389335102	Stop by out booth at SHRM, #1237, and see the newest system to run your background checks, drug screening and I-9 verifications.	2009-06-29 11:11:36				Yorba Linda, CA
46415654	2382505443	Attending SHRM?   Come by and meet Erick or Rick (booth 1237) and see our all new client module.  It's the best in the industry.	2009-06-28 22:41:49				Yorba Linda, CA
46415654	2321929466	Liberty Alliance is gearing up to launch it's all new client module. More on this next week. Have a great week.	2009-06-24 23:46:59				Yorba Linda, CA
46415654	2119768847	Liberty Alliance is launching its Twitter account.  Please follow us....	2009-06-11 12:49:22				Yorba Linda, CA
20294386	5922301551	Check this video out -- The Importance of Building a List http://www.youtube.com/watch?v=3-T3Us2AbpY	2009-11-21 10:42:26				Yorba Linda, CA
20294386	5902991203	Learn How to Generate 20 Leads a day on Facebook http://myFbSecrets.info	2009-11-20 16:53:17				Yorba Linda, CA
20294386	5880423832	Check this video out -- Having A vision in Network Marketing http://www.youtube.com/watch?v=8JT9hslgUAA	2009-11-19 22:41:07				Yorba Linda, CA
20294386	5880288087	I uploaded a YouTube video -- Having A vision in Network Marketing http://www.youtube.com/watch?v=8JT9hslgUAA&feature=autoshare_twitter	2009-11-19 22:34:31				Yorba Linda, CA
20294386	5820298243	I uploaded a YouTube video -- Forget Your MLM and Concentrate on Marketing http://bit.ly/1gXRZi	2009-11-18 00:50:29				Yorba Linda, CA
20294386	5820272138	Check this video out -- Forget Your MLM and Concentrate on Marketing http://www.youtube.com/watch?v=5O4uniFNt-o	2009-11-18 00:48:39				Yorba Linda, CA
20294386	5819798820	I uploaded a YouTube video -- Don't Play Table Tennis With your [Network Marketing] MLM Business http://bit.ly/33OB6a	2009-11-18 00:16:54				Yorba Linda, CA
20294386	5819779903	Check this video out -- Don't Play Table Tennis With your [Network Marketing] MLM Business http://www.youtube.com/watch?v=O9ZdnHbM3Xw	2009-11-18 00:15:42				Yorba Linda, CA
20294386	5673470464	"If you don&#39;t know where you are going, you will probably end up somewhere else. " ~ Lawrence J. Peter	2009-11-13 00:51:58				Yorba Linda, CA
20294386	5639316265	Check this video out -- Top 5 Reasons MLMLeadSystem Pro Works #1 Self Branding (You) http://bit.ly/6mQQa	2009-11-11 21:29:33				Yorba Linda, CA
20294386	5639246584	Check this video out -- Top 5 Reasons MLMLeadSystem Pro Works #2 Cash Flow http://bit.ly/2InxdP	2009-11-11 21:26:33				Yorba Linda, CA
20294386	5639197129	Check this video out -- Top 5 Reasons MLMLeadSystem Pro Works #3 Residual Income http://bit.ly/12TKwj	2009-11-11 21:24:29				Yorba Linda, CA
20294386	5626274400	Check this video out -- Top 5 Reasons MLMLeadSystem Pro Works #4 Affiliate Programs http://bit.ly/1Gjaoj	2009-11-11 12:53:14				Yorba Linda, CA
20294386	5626089902	Check this video out -- Top 5 Reasons MLMLeadSystem Pro Works #5 List Building http://bit.ly/2oNZ3i	2009-11-11 12:45:22				Yorba Linda, CA
20294386	5609797582	“Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.” - Schweitzer	2009-11-10 22:10:10				Yorba Linda, CA
20294386	5580971508	"Leadership is the capacity to translate vision into reality. " ~ Warren G. Bennis	2009-11-09 23:06:08				Yorba Linda, CA
20294386	5308939994	Check this video out -- What to Look For in a Home Based Business http://bit.ly/4CDuAX	2009-10-31 01:41:55				Yorba Linda, CA
20294386	5116751981	Check this video out -- Which Home Based Business is Best for Me? http://bit.ly/qg5gc	2009-10-24 00:16:31				Yorba Linda, CA
20294386	5116742640	Check this video out -- How do I Select the Best Home Based Business http://bit.ly/2lLzj4	2009-10-24 00:15:54				Yorba Linda, CA
20294386	4970004255	"Our greatest glory is not in never failing, but in rising up every time we fail."~ Ralph Waldo Emerson ... http://lnk.ms/2Cw4t	2009-10-18 12:37:37				Yorba Linda, CA
20294386	4933301547	"Risk more than others think is safe. Care more than others think is wise. Dream more than others think is pra ... http://lnk.ms/26tKh	2009-10-16 21:40:07				Yorba Linda, CA
20294386	4880873013	"Will you look back on life and say, "I wish I had," or "I&#39;m glad I did"?"~ Zig Z ... http://lnk.ms/3QMFT	2009-10-14 23:05:25				Yorba Linda, CA
20294386	4872348102	Check this video out -- Once in a Life Time Home Business Opportunity http://bit.ly/2lRWTG	2009-10-14 16:36:22				Yorba Linda, CA
20294386	4774453002	"Motivation is the art of getting people to do what you want them to do because they want to do it." ~ Dw ... http://lnk.ms/36tCR	2009-10-10 20:52:31				Yorba Linda, CA
20294386	4718412317	"You will never find time for anything. If you want time you must make it. "~ Charles Buxton ... http://lnk.ms/1XX9Q	2009-10-08 17:11:24				Yorba Linda, CA
20294386	4700465600	"Motivation is a fire from within. If someone else tries to light that fire under you, chances are it will bur ... http://lnk.ms/2wXz1	2009-10-07 22:29:05				Yorba Linda, CA
20294386	4675551305	"You miss 100% of the shots you don&#39;t take."~ Wayne Gretzky ... http://lnk.ms/1Qxyt	2009-10-07 00:14:53				Yorba Linda, CA
20294386	4647550896	"The best way to predict your future is to create it." ... http://lnk.ms/2nWQP	2009-10-05 23:12:13				Yorba Linda, CA
20294386	4647479729	has joined MySpace! ... http://lnk.ms/1MFBJ	2009-10-05 23:08:27				Yorba Linda, CA
20294386	4617351018	Follow your dreams and never give up.	2009-10-04 20:37:23				Yorba Linda, CA
20294386	4380948788	Waiting in a very long line at the lv Hilton to check in	2009-09-25 18:28:02				Yorba Linda, CA
20294386	4373789811	Focus on positive and forget the negative.	2009-09-25 12:44:11				Yorba Linda, CA
20294386	4368106858	Just got finished running.	2009-09-25 08:27:28				Yorba Linda, CA
20294386	4365487282	Up early for a run	2009-09-25 05:29:45				Yorba Linda, CA
20294386	4359716601	Check out my profile to see the new Twitter background I created from TwitBacks.com #twitbacks http://tinyurl.com/6owdfd	2009-09-24 22:23:21				Yorba Linda, CA
20294386	4354096559	Getting ready for Vegas this weekend	2009-09-24 18:10:59				Yorba Linda, CA
20294386	4333563381	Just trying out the iphone	2009-09-23 22:35:02				Yorba Linda, CA
20294386	3998060164	Check this video out -- Facing the Giants http://bit.ly/hw9R6	2009-09-14 23:33:36				Yorba Linda, CA
20294386	3949265034	Had a great day. Went to the beach and got sunburned. Should have worn sunsreen.	2009-09-12 23:57:00				Yorba Linda, CA
20294386	3892920732	Check out this blog post about Goji Berries http://bestchews4u.blogspot.com/2009/09/goji.html	2009-09-10 13:25:31				Yorba Linda, CA
24275647	3996187683	Off to run away from my troubles then eventually get tired and collapse back into them.	2009-09-14 21:53:39				Yorba Linda, CA
24275647	4020196097	Overwhelmed.	2009-09-15 21:25:30				Yorba Linda, CA
24275647	4021864999	@Prestyn, where are you at and who are you seeing?	2009-09-15 22:48:45				Yorba Linda, CA
24275647	4023384559	@Prestyn  That's pretty sick!  Hope you have a great evening! :D	2009-09-16 00:25:27				Yorba Linda, CA
24275647	4029131593	Waking up is hard to do.  Getting work done is even harder.	2009-09-16 08:39:03				Yorba Linda, CA
24275647	4045639621	I can't believe it's only Wednesday.  I'm so drained :/	2009-09-16 21:56:51				Yorba Linda, CA
24275647	4053683824	Tired and behind yet again in my work for school.  I need to get a system going stat!	2009-09-17 08:19:19				Yorba Linda, CA
24275647	4069822701	I wish Mark Hoppus would hug me...	2009-09-17 21:39:02				Yorba Linda, CA
24275647	4072681873	Blink-182!!!	2009-09-18 00:23:40				Yorba Linda, CA
24275647	4079837360	Waking up to go teach after a long night is not something I'll be looking forward to in the future...	2009-09-18 09:38:32				Yorba Linda, CA
24275647	4090163041	So...tired...need...sleep...must...party...	2009-09-18 17:56:48				Yorba Linda, CA
24275647	4099129009	Tired	2009-09-19 03:34:18				Yorba Linda, CA
24275647	4108267541	Wiggidy Wiggidy Whack.  Don't talk back Jack!	2009-09-19 14:22:37				Yorba Linda, CA
24275647	4127584271	Where did the weekend go?  So much work still needs to be done!	2009-09-20 12:44:50				Yorba Linda, CA
24275647	4145990824	Le Sigh...I guess I really am a morning person.  Woke up at 4:30 and got 2 classes worth of lessons done in 2 hours.  :p	2009-09-21 08:22:59				Yorba Linda, CA
24275647	4173436149	Taking a deep breath.  Also, happy birthday to @girlishoutline!	2009-09-22 09:54:01				Yorba Linda, CA
24275647	4302230598	@MicheV Aren't you supposed to be leaning to the left and the right first?  Shame!!!	2009-09-22 19:06:58				Yorba Linda, CA
24275647	4315765960	Decisions are tough things to make.  Especially when they turn out to be the wrong one...	2009-09-23 08:59:37				Yorba Linda, CA
24275647	4341496777	Still wondering what I was thinking when I signed up for this...	2009-09-24 08:28:51				Yorba Linda, CA
24275647	4360868276	Sooooooo, I was just wondering...what's the square root of a possum?	2009-09-24 23:22:34				Yorba Linda, CA
19287919	4377066581	FC Q1 underway at Motorplex. Right now Jeff Arend No. 1 after two pairs #nhradal	2009-09-25 15:15:19				Yorba Linda, CA
19287919	4377108215	Into Countdown Funny Cars... Mike Neff and Del Worsham up next. Bonus points still available #nhradal	2009-09-25 15:17:16				Yorba Linda, CA
